nom,description,categorie,URL,age,disponible,est_nouveau
Tabouret ergonomique Interstuhl,"Cette version hautement qualitative du tabouret oscillant dispose de points forts incontestables : 
  - Réglable en hauteur via la dragonne 
  - Empiècement d'assise moelleux gris basalte 
  - Socle arrondi antidérapant 
  - Qualité allemande, garantie 10 ans 
  

 
  Il offre un mouvement perpétuel de la personne assise. 
  

 
  L'assise dynamique est une clef pour l'apprentissage et la concentration des personnes avec autisme et/ou TDAH, mais également pour beaucoup d'enfants ordinaires simplement agités. 
  Attention toutefois à la taille de ce tabouret qui convient plus particulièrement aux enfants mesurant au minimum 1m30. 
  Pour un tabouret adapté à une taille inférieure, consulter 
  <a href=""/products/tabouret-oscillant-mogoo"" style=""font-weight: bold; text-decoration: none; color: inherit;"">le Mogoo .
  

 
  Il favorise ainsi l'autonomie, l'écoute active et l'engagement de la personne dans son activité en lui permettant de se balancer. 
  

 
  Le balancement permet d'activer le système vestibulaire qui active à son tour certains circuits de mémorisation du cerveau.","gestion du comportement, le materiel, produits sensoriels, coordonner manipuler, se concentrer apprendre, vestibulaire",https://www.autismediffusion.com/products/tabouret-ergonomique-interstuhl,,,
Time Timer® Montre enfant,"NOUVELLE VERSION !  
  Nouveau design et nouvelles fonctionnalités — voici les principales améliorations de votre montre  Time Timer®  :
  

 
   
     Nouveau design :  d'un blanc pâle, le design sportif de cette montre  Time Timer®  convient à tous les domaines d'utilisation 
    (étudiants, adultes, athlètes, enseignants) et pour tous les âges.
   

   
     Bracelet interchangeable :  pour changer de couleur ou remplacer un bracelet usé, deux modèles peuvent désormais être 
    <a href=""/products/bracelet-montre-time-timer-enfant-bleu?_pos=2&_psq=bracelet&_ss=e&_v=1.0"" 
       style=""color: #2388ee; font-weight: bold; font-size: 1.1em;"">
       commandés séparément
      : ORANGE &amp; BLEU.
   

   
     Utilisation plus fluide :  téléchargez le guide d'utilisation sous l'onglet <em>COMPLÉMENT</em> pour découvrir les améliorations apportées aux fonctionnalités de la montre  Time Timer® .
   

   
     Changement de la pile :  possibilité de remplacer la pile très facilement.
   
 

 
  Cette montre favorise l’indépendance et la mobilité de tous ceux qui nécessitent une gestion du temps particulière : 
   Autisme, TDAH &amp; particularités cognitives...   
  La montre  Time Timer®  est une aide précieuse à la concentration et à l'autorégulation tout au long de la journée.  
  <em>Tous les avantages du Time Timer® au poignet.</em>  
   Taille du bracelet :  Enfant : 12–18 cm","materiel, gestion du temps, timers",https://www.autismediffusion.com/products/time-timer-montre-enfant,,,
Twiddle Crawlerz,"Jouet fidget sensoriel en forme de chenille, avec 12 petites boules texturées. Le Twiddle Crawlerz est extensible et souple. Il peut être étiré, pressé, serré, tordu. La texture de ce fidget présente de petits picots doux et lisses très agréables au toucher. Les couleurs sont vives et attrayantes. C'est avant tout un objet sensoriel déstressant. Manipuler le Twiddle Crawlerz procure une sensation d'apaisement. Il est plus facile de se concentrer en le triturant. À l'instar du 
<a href=""/products/tangle-texture-fidget"" style=""color:#2388ee; font-weight:bold; font-size:1.1em; text-decoration:none;"">Tangle , il permet également de travailler la dextérité et la motricité fine.  

 

 ATTENTION : Ce jouet sensoriel n'est pas incassable. Pour une personne avec des besoins sensoriels forts, préférer des objets plus solides.","gestion du comportement, le materiel, produits sensoriels, se concentrer apprendre, toucher",https://www.autismediffusion.com/products/twiddle-crawlerz-fidget,,,
Twiddle multicolore,"Le Twiddle est un assemblage de 70 pièces qui s'assemblent et se désassemblent à l'infini ! Sa texture, ses multiples possibilités d'assemblage et son aspect multicolore représentent un bon moyen d'apaisement ou de concentration.       Témoignage :   ""En tant qu'ergothérapeute, Twiddle est un outil incroyable pour les enfants atteints d'autisme. Après avoir vu des enfants de tous âges interagir avec lui, je trouve que cela a aidé à se concentrer et à atténuer les comportements problèmes.""    A. Van Asten , ergothérapeute","gestion du comportement, le materiel, produits sensoriels, proprioception, se stimuler se reguler, voir",https://www.autismediffusion.com/products/twiddle-multicolore-fidget-stim,,,
Ceci n'est pas un livre de sexe,"<a href=""https://www.calameo.com/read/001698429f498501316d6"" target=""_blank"" style=""color: #2388ee; font-weight: bold; font-size: 1.1em; text-decoration: none;"">
    <span style=""margin-right: 5px;"">📖 Visualiser un extrait
   
 
 
 
   
     Un livre qui parle sans détour aux ados de la sexualité ! 
   
   
     
      Un guide de sexualité pour les adolescents pas comme les autres, qui répond directement à toutes leurs questions et leurs inquiétudes sans détour : 
      connaître son corps, les mécanismes du plaisir, les relations affectives, le moment idéal, la protection, les préliminaires, l’acte proprement dit…
     
   
   
     
      Écrit par une youtubeuse proche des ados (Chusita), ce guide largement illustré de BD, d’encadrés, de témoignages, tests, et mots-clés propose une éducation sexuelle 
      sérieuse et décomplexée qui répond à toutes les questions même taboues (perdre sa virginité, l’homosexualité, la masturbation, comment lutter contre le revenge porn,…).","gestion du comportement, les livres, strategies educatives, syndrome dasperger et autisme de haut niveau,  , temoignages, gestion du comportement les livres",https://www.autismediffusion.com/products/ceci-nest-pas-un-livre-de-sexe,,,
Vélo bureau,"En combinant  mouvements apaisants  et  espace de travail fonctionnel , le vélo bureau est une approche innovante pour stimuler la régulation sensorielle et renforcer la concentration.
  

  Bénéfices spécifiques du vélo bureau :   
 
   Favorise la régulation sensorielle et la réduction du stress :  le pédalage offre une stimulation proprioceptive qui aide à calmer l’agitation, à réduire l’anxiété et à favoriser un état de régulation émotionnelle et de bien-être. 
   Encourage l'autonomie et la concentration :  associe activité physique et tâche cognitive, ce qui soutient la concentration et l’autonomie. 
 

 
  Véritable  station de travail active , le vélo bureau est silencieux, maniable et parfaitement adapté à un usage partagé.
  

 
   Montage facile et rapide :  livré dans un carton, le montage prend 1 minute. Il suffit de déplier les pieds et les pédales, puis de visser la tablette (clé Allen et vis fournies). 
   Ergonomique :  siège et tablette ajustables en hauteur et profondeur grâce à des vérins. Selle XL en gel pour un confort optimal. 
   Pédalier silencieux avec résistances :  8 niveaux de résistance, pédalage fluide. Odomètre intégré (temps, distance, vitesse, calories). 
   Roulettes fluides avec capteur de gravité :  pivotantes à 360° pour un déplacement facile. Blocage automatique lors de l’utilisation pour plus de sécurité. 
   Assise ajustable et confortable :  selle extra large en gel, réglable rapidement avec une poignée. 
   Tablette ajustable :  réglable en hauteur (vérin) et en profondeur pour s’adapter à toutes les morphologies. 
 

 <strong style=""color: red;"">Veuillez noter : règlement à la commande .  
 Livraison exclusivement en France métropolitaine.","gestion du comportement, le materiel, produits sensoriels, coordonner manipuler, proprioception, se concentrer apprendre, vestibulaire",https://www.autismediffusion.com/products/velo-bureau,,,
Embout ARK Brosse,"L’Embout ARK Brosse est un accessoire de motricité oro-faciale conçu pour être utilisé avec les appareils 
<a href=""/products/z-vibe-ark"" style=""color:#2388ee; font-size:1.1em; font-weight:bold; text-decoration:none;"">Z-Vibe®  
ou 
<a href=""/products/z-grabber-ark"" style=""color:#2388ee; font-size:1.1em; font-weight:bold; text-decoration:none;"">Z-Grabber® .
Disponible en deux textures – souple et ferme – il permet d’apporter une stimulation tactile variée au niveau des lèvres, des joues, de la langue et de l’ensemble de la sphère oro-faciale.  

 Sa forme de petite brosse permet d’introduire une variété de sensations tout en travaillant la conscience buccale, la réactivité orale et la désensibilisation progressive.  

  Pourquoi utiliser les vibrations ?   

 Parfois, la stimulation provoquée en touchant les lèvres, la langue ou les joues n’est pas suffisante.  
Les vibrations apportent un niveau supplémentaire de sensibilité tactile, utile pour :  

 
   les personnes hyposensibles, qui ont besoin d’un apport sensoriel accru pour développer leur conscience buccale ; 
   les personnes hypersensibles, chez qui la stimulation vibratoire peut aider à réduire l’aversion alimentaire et les difficultés liées aux textures. 
 

 Les embouts ARK sont largement utilisés par les orthophonistes, ergothérapeutes, psychomotriciens et professionnels travaillant sur les compétences orales et alimentaires.  

 Retrouvez toute la gamme des <a href=""/collections/la-gamme-ark"" style=""color:#2388ee; font-weight:bold; font-size:1.1em; text-decoration:none;"">produits ARK .  

 <a href=""/blogs/sensorialite/quelles-clefs-pour-les-personnes-qui-recherchent-des-stimulations-orales"" style=""color:#2388ee; font-weight:bold; font-size:1.1em; text-decoration:none;"">💬Quelles clefs pour les personnes qui recherchent des stimulations orales ?","produits sensoriels, coordonner manipuler, proprioception, toucher",https://www.autismediffusion.com/products/embout-ark-brosse,,,
Lampe à fibres SOCLE ARGENTE,Lampe à fibres optiques aux couleurs changeantes qui crée une atmosphère apaisante.  Un objet idéal pour une salle sensorielle.,"gestion du comportement, le materiel, produits sensoriels, sapaiser se relaxer, voir",https://www.autismediffusion.com/products/lampe-a-fibres-socle-argente,,,
TIME TIMER petit modèle sonore,"<div style=""text-align: center;"">
  <span style=""color: #ef001b; font-weight: bold;"">NOUVEAU MODELE ! 
 

Toutes les fonctions du Time Timer&reg; petit modèle avec les nouveautés suivantes :
- Une carte effaçable à sec incluse qui se glisse dans une fente sur le dessus du timer 
- Couvercle rabattable désormais transparent, le temps restant bien plus visible lorsque le couvercle est fermé 
- Sac de transport en tissu inclus  

Time Timer&reg; sonore : Simple d'utilisation, il suffit de tourner le disque rouge jusqu'à l'intervalle de temps désiré.  
La partie visible du disque rouge diminue au fur et à mesure que le temps passe jusqu'à disparaître complètement.  
En actionnant le bouton on/off, le Time Timer&reg; émettra un son « BIP » pour prévenir du temps écoulé.  
Le Time Timer&reg; personnel, grâce à sa petite taille, est pratique à transporter tout au long des activités.  
Son capot protecteur transparent, quand il est ouvert, sert de socle pour le poser sur une table.","materiel, gestion du temps, timers",https://www.autismediffusion.com/products/time-timer-petit-modele-sonore,,,
Fidget limace phosphorescent articulé,"Le Fidget Limace phosphorescent est un jouet sensoriel articulé semblable au <a href=""/products/fidget-limace-articule-rainbow"" target=""_blank"" style=""color:#2388ee; font-weight:bold; font-size:1.1em;"">Fidget Limace RAINBOW . À l’instar de ce dernier, il est conçu pour offrir une expérience tactile ludique, apaisante et engageante. Sa taille réduite (11 cm) convient mieux à des mains plus petites. Grâce à sa structure composée de segments flexibles, il glisse, pivote et ondule dans un mouvement très fluide, offrant à la fois une stimulation visuelle et une satisfaction sensorielle continue. Un léger bruit clair (le tintement des segments entre eux) est émis lors de sa manipulation.  

 Ce stim toy visuellement attrayant est parfait pour les personnes cherchant à :  
 
   canaliser le stress et l’anxiété, 
   améliorer la concentration, 
   stimuler la motricité fine, 
   ou simplement occuper les mains lors de moments de pause ou de créativité. 
 

 Adapté aux enfants dès 3 ans comme aux adultes, il constitue un outil sensoriel polyvalent, apprécié en contexte familial, scolaire ou professionnel.","gestion du comportement, le materiel, produits sensoriels, ecouter, se concentrer apprendre, toucher, voir",https://www.autismediffusion.com/products/fidget-limace-phosphorescent-articule,,,
J'apprends à exprimer mes sentiments,"<a href=""https://www.calameo.com/read/000015856c663190cfa22"" 
   style=""color:#2388ee; font-weight:bold; font-size:1.1em; text-decoration:none;"" 
   target=""_blank"" 
   rel=""noopener noreferrer"">
  📖 Visualiser un extrait
 
 Montrer qu'on apprécie ou qu'on aime quelqu'un est inné la plupart du temps. Cela s'exprimera par des gestes ou des paroles, plus ou moins proches ou affectueuses selon le contexte ou la relation qu'on entretient avec la personne. Pour un enfant ou un jeune autiste, rien n'est plus compliqué que d'exprimer ses sentiments. Ils ne disposent en effet pas des codes lui permettant d'exprimer ce qu'il ressent, ni même de voir à quel point il peut être difficile pour leur famille et leurs amis d'être privés de tout geste d'affection.  

 Tony Attwood et Michelle Garnett proposent des solutions concrètes pour aider les personnes autistes à surmonter leurs difficultés et des activités élaborées avec soin à destination des parents pour aider leur enfant à comprendre ce qu'est l'affection et à exprimer ce qu'ils ressentent. Les activités proposées sont simples, accessibles et soigneusement structurées, ce qui va permettre à chaque famille d'y avoir recours au rythme qui lui convient.  

  Accompagnement en 5 étapes :   
 
   Comprendre 
   Identifier et exprimer son affection 
   Donner et recevoir des compliments 
   Pourquoi montrer son affection 
   Développer nos capacités 
 

 Plus en ligne : cahier d'activité à destination des enfants.","gestion du comportement, les livres, strategies educatives,  , gestion du comportement les livres",https://www.autismediffusion.com/products/livre-japprends-a-exprimer-mes-sentiments,,,
"Pack Source de lumière + fibre optique 150 fils X 1,5m","Les fibres optiques se composent de deux parties : une source lumineuse et un ensemble de fils. Les fils sont disponibles en plusieurs longueurs et s'illuminent sur toute la longueur grâce à des milliers de petits points lumineux. Une télécommande permet de choisir la couleur de la lumière, tout comme un bouton à l'arrière du diffuseur de lumière.   La fibre optique crée une forte attirance. Le changement des couleurs améliore l'attention et a un effet apaisant.  Excellente stratégie d'évitement du comportement problème qui encourage la relaxation par la stimulation visuelle tout en étant un régal sur le plan tactile.  Idéal pour créer une pièce sensorielle, les fibres optiques plongent dans une ambiance propice au calme et à la détente.   Les fils peuvent être touchés sans risque.","le materiel, produits sensoriels, sapaiser se relaxer, toucher, voir",https://www.autismediffusion.com/products/source-de-lumiere-pour-fibre-optique-2,,,
Ben et les habiletés sociales: La gestion des émotions,"""Coucou, c’est moi, Benjamin que tout le monde appelle Ben.
  
 
  Tu ne trouves pas que c’est parfois compliqué de gérer toutes nos émotions ?
  
 
  La difficulté, c’est quand les émotions sont fortes. C’est à ce moment-là que je peux perdre le contrôle.""
  
 
  Le livre est accompagné d'une pochette. Vous y trouverez le  plan anti-débordement et 41 pictogrammes avec scratch .","gestion du comportement, les livres, livres jeunesse, librairie,  , les collections, nos editions, gestion du comportement les livres",https://www.autismediffusion.com/products/ben-et-les-habiletes-sociales-la-gestion-des-emotions,,,
Pile de rechange Z-Vibe® et Z-Grabber® ARK,"<strong style=""color: #28a745;"">Offre Exclu WEB : 4 achetées, la 5<sup>e</sup> est offerte  
  Pile de rechange pour le 
  <a href=""/products/z-vibe-ark"" style=""color: #2388ee; font-weight: bold; font-size: 1.1em; text-decoration: none;"">Z-Vibe®  
  et le 
  <a href=""/products/z-grabber-ark"" style=""color: #2388ee; font-weight: bold; font-size: 1.1em; text-decoration: none;"">Z-Grabber® . 
  Non vendue en grande surface.","produits sensoriels, toucher",https://www.autismediffusion.com/products/pile-de-rechange-z-vibe-et-z-grabber-ark,,,
Mallette pédagogique hygiène - vie intime,"<div style=""max-width: 800px; margin: auto; color: #333; line-height: 1.6;"">

  <!-- Image -->
  <div style=""text-align: center; margin-bottom: 24px;"">
    <img src=""https://cdn.shopify.com/s/files/1/0929/9699/3365/files/logo-kit-pro.jpg?v=1750410663"" 
         alt=""Mallette hygiène - vie intime"" 
         style=""max-width: 100%; height: auto; border-radius: 12px;"" />
   

  <!-- Texte principal -->
   
     La mallette hygiène - vie intime  est un outil pédagogique très complet qui aborde explicitement l'hygiène, la connaissance de son corps, le bien-être corporel, ainsi que de nombreux aspects de la vie intime tels que la puberté, le cycle menstruel, la sexualité, le consentement, la contraception, la grossesse, les IST, la prévention des abus sexuels, etc.
    

   
    La mallette hygiène - vie intime est construite autour d'un riche panel de supports pédagogiques&nbsp;:
    

  <ul style=""padding-left: 20px; margin-top: 8px;"">
     2 schémas corporels magnétiques d'1 mètre de hauteur (de face et de dos) et leurs 38 accessoires aimantés. 
     Des objets variés permettant à la fois de réaliser des démonstrations et d'encourager à la manipulation. 
     
  18 scénarii téléchargeables gratuitement et modifiables sur 
<a href=""https://arasaac.org/"" target=""_blank"" 
   style=""font-weight: bold; color: #2388ee; font-size: 1.1em; text-decoration: none;"">
  🌐&nbsp;https://arasaac.org/
 , servant de supports pédagogiques aux différents thèmes liés à l'hygiène et la vie intime.
 
  <div style=""text-align: center; margin: 16px 0 24px;"">
    <a href=""/pages/mallette-pedagogique-hygiene-vie-intime"" 
       style=""
         display: inline-block;
         padding: 10px 24px;
         font-size: 1.1em;
         font-weight: 600;
         color: #fff;
         background-color: #5B5F70;
         border-radius: 8px;
         text-decoration: none;
         box-shadow: 0 4px 8px rgba(91, 95, 112, 0.4);
         transition: background-color 0.3s ease;
       ""
       onmouseover=""this.style.backgroundColor='#474a58'""
       onmouseout=""this.style.backgroundColor='#5B5F70'""
    >
      18 scénarii sociaux gratuits
     
   
 
     
  1 livre&nbsp;: 📚 
  <a href=""/products/quest-ce-que-le-sexe"" 
     style=""font-weight: bold; color: #2388ee; font-size: 1.1em; text-decoration: none;"">
     ""Qu'est-ce que le sexe?"" 
    de Kate E.REYNOLDS. Un guide pour les personnes avec autisme, besoins éducatifs particuliers et en situation de handicap. Ce livre explique franchement le sexe afin que le lecteur comprenne clairement ce qu'est le sexe, connaisse les noms appropriés des organes sexuels et des activités sexuelles, et soit conscient des conséquences physiques potentielles des rapports sexuels.
 
     
      1 guide d'utilisation","materiel, materiel devaluation",https://www.autismediffusion.com/products/mallette-pedagogique-hygiene-vie-intime,,,
